,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
65,OWL-S,1.0,1.0,1.0,1.0,0.129,0.382,0.129,0.382,0.6,0.5,0.4,0.4,0.4,0.333,0.286,0.25,0.267,0.24,0.6,0.5,0.4,0.4,0.4,0.333,0.286,0.25,0.267,0.24
66,Wireless sensor network,1.0,1.0,1.0,1.0,0.388,0.716,0.388,0.716,0.8,0.8,0.667,0.7,0.6,0.6,0.629,0.6,0.578,0.54,0.8,0.8,0.667,0.7,0.6,0.6,0.629,0.6,0.578,0.54
67,Semantic role labeling,1.0,1.0,1.0,1.0,0.414,0.8,0.414,0.8,1.0,0.8,0.8,0.7,0.6,0.533,0.514,0.55,0.556,0.56,1.0,0.8,0.8,0.7,0.6,0.533,0.514,0.55,0.556,0.56
68,Continuous-time Markov chain,0.333,0.333,1.0,1.0,0.015,0.033,0.746,0.852,0.2,0.1,0.067,0.1,0.12,0.1,0.086,0.075,0.067,0.1,1.0,0.9,0.933,0.9,0.88,0.833,0.829,0.825,0.844,0.84
69,Open Knowledge Base Connectivity,0.0,0.0,1.0,1.0,0.0,0.0,0.495,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.8,0.7,0.72,0.7,0.657,0.675,0.667,0.66
70,Propagation of uncertainty,0.167,0.167,1.0,1.0,0.003,0.017,0.076,0.294,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.4,0.4,0.267,0.3,0.24,0.233,0.2,0.175,0.156,0.14
71,Fast Fourier transform,1.0,1.0,1.0,1.0,0.291,0.6,0.38,0.678,1.0,0.6,0.4,0.35,0.44,0.467,0.514,0.525,0.489,0.48,1.0,0.7,0.533,0.45,0.56,0.6,0.629,0.625,0.578,0.56
72,Security token,0.033,0.0,0.033,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.029,0.025,0.022,0.02,0.0,0.0,0.0,0.0,0.0,0.033,0.029,0.025,0.022,0.02
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.033,0.0,1.0,1.0,0.001,0.0,0.325,0.7,0.0,0.0,0.0,0.0,0.0,0.033,0.029,0.025,0.022,0.02,1.0,0.7,0.6,0.6,0.52,0.6,0.543,0.55,0.511,0.46
75,Knowledge extraction,1.0,1.0,1.0,1.0,0.123,0.461,0.495,0.762,0.6,0.6,0.467,0.35,0.32,0.267,0.257,0.225,0.222,0.22,1.0,0.8,0.6,0.65,0.64,0.633,0.657,0.675,0.689,0.68
76,Computational biology,1.0,1.0,1.0,1.0,0.411,0.498,0.757,0.835,0.6,0.7,0.8,0.6,0.64,0.6,0.629,0.6,0.6,0.62,0.8,0.9,0.933,0.85,0.88,0.867,0.857,0.825,0.844,0.86
77,Web 2.0,0.045,0.0,0.045,0.0,0.006,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.04,0.067,0.057,0.05,0.089,0.08,0.0,0.0,0.0,0.0,0.04,0.067,0.057,0.05,0.089,0.08
78,Network theory,0.059,0.0,1.0,1.0,0.001,0.0,0.159,0.17,0.0,0.0,0.0,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.4,0.3,0.333,0.35,0.44,0.4,0.4,0.4,0.378,0.38
79,Video denoising,0.111,0.111,0.111,0.111,0.004,0.011,0.004,0.011,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.05,0.044,0.04,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.05,0.044,0.04
80,Quantum information science,1.0,1.0,1.0,1.0,0.234,0.388,0.867,1.0,0.6,0.5,0.6,0.55,0.52,0.5,0.457,0.425,0.422,0.4,1.0,1.0,1.0,0.95,0.96,0.967,0.943,0.9,0.911,0.9
81,Color quantization,0.2,0.2,1.0,1.0,0.022,0.02,0.395,0.753,0.2,0.1,0.067,0.15,0.16,0.133,0.114,0.15,0.156,0.14,1.0,0.8,0.733,0.7,0.68,0.633,0.6,0.575,0.578,0.52
82,social web,0.25,0.25,1.0,1.0,0.071,0.115,0.889,1.0,0.4,0.3,0.267,0.25,0.24,0.267,0.229,0.25,0.244,0.24,1.0,1.0,0.933,0.9,0.92,0.933,0.914,0.925,0.933,0.94
83,entity linking,0.5,0.5,0.5,0.5,0.068,0.113,0.084,0.161,0.2,0.3,0.333,0.35,0.28,0.267,0.286,0.25,0.222,0.2,0.2,0.4,0.4,0.4,0.32,0.3,0.314,0.275,0.244,0.22
84,information privacy,1.0,1.0,1.0,1.0,0.608,0.9,0.608,0.9,1.0,0.9,0.867,0.75,0.8,0.733,0.686,0.725,0.733,0.74,1.0,0.9,0.867,0.75,0.8,0.733,0.686,0.725,0.733,0.74
85,random forest,1.0,1.0,1.0,1.0,0.305,0.463,0.305,0.463,0.8,0.5,0.4,0.45,0.56,0.567,0.543,0.575,0.533,0.5,0.8,0.5,0.4,0.45,0.56,0.567,0.543,0.575,0.533,0.5
86,cloud computing,1.0,1.0,1.0,1.0,0.102,0.395,0.102,0.395,0.6,0.5,0.467,0.35,0.28,0.233,0.2,0.175,0.156,0.14,0.6,0.5,0.467,0.35,0.28,0.233,0.2,0.175,0.156,0.14
87,Knapsack problem,0.083,0.0,0.083,0.0,0.009,0.0,0.009,0.0,0.0,0.0,0.067,0.05,0.04,0.1,0.086,0.075,0.067,0.1,0.0,0.0,0.067,0.05,0.04,0.1,0.086,0.075,0.067,0.1
