author_name,n_pub
Jacob D. Abernethy,35
Khaled M. Hammouda,0
Günther Eibl,10
Oliver C. Schrempf,0
Nick Montfort,19
Paola Bressan,0
Sabine Brants,0
Karl Stratos,8
Simone Paoletti,0
Julinda Gllavata,7
Jan Trmal,0
Evan Wei Xiang,16
Antti Airola,34
Glen Coppersmith,4
Wayne Wobcke,57
Ronald K. Hambleton,0
Moshe Tennenholtz,201
Frank Dabek,10
Fabian Hadiji,0
Ricardo Martin-Brualla,8
Michael F. Worboys,39
Claire J. Tomlin,64
Kristjan H. Greenewald,0
Saturnino Maldonado-Bascón,0
Nolan McCarty,0
Hossein Mamaghanian,3
Richard Souvenir,24
Salman Salamatian,0
Mariona Nadal-Ribelles,0
Aws Albarghouthi,33
Shashaank Vattikuti,0
Bruno Latour,0
Emmanuèle Grosicki,0
Kamal Hammouche,0
Myroslava O. Dzikovska,38
Patrick L. Combettes,0
Jakob Zscheischler,4
Till Westmann,22
Matthias Zöhrer,3
Peter Vorderer,20
Yael Dahan Netzer,7
Doron A. Peled,0
Stuart S. Antman,0
Olaf Sporns,0
